film,ICSD?,band gap (eV),n,stability,B,mu,nsites,elements,MW,density,CTE,x-tal,a,film orientation,film lattice parameter,% strain,sub_orientation,substrate
SrWO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'W', 'O']",319.45700000000005,7.689681846972675,0.0,perovskite,4.101,(100),4.101,2.7277039848197395,(100),MgO
EuMoO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'Mo', 'O']",295.901,7.128128081561703,0.0,perovskite,4.1,(100),4.1,2.7514231499051363,(100),MgO
EuWO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'W', 'O']",383.801,9.246005424573594,0.0,perovskite,4.1,(100),4.1,2.7514231499051363,(100),MgO
EuHfO3,false,0.4795999999999996,0.0,stable,0.0,0.0,5.0,"['Eu', 'Hf', 'O']",378.451,9.133639660900897,0.0,perovskite,4.098,(100),4.098,2.798861480075909,(100),MgO
HfCdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Hf', 'Cd', 'O']",338.898,8.176531700339828,0.0,perovskite,4.098,(100),4.098,2.798861480075909,(100),MgO
SrErO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Er', 'O']",302.876,6.174505378718418,0.0,perovskite,4.335,(100),4.335,2.8225806451612847,(100),MgO
BaRhO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Rh', 'O']",288.23,6.9727007498380615,0.0,perovskite,4.094,(100),4.094,2.8937381404174545,(100),MgO
Mg2SnO4,false,1.9033999999999995,0.0,metastable,0.0,0.0,7.0,"['Mg', 'Sn', 'O']",231.316,4.699005989078802,0.0,spinel,8.68,(100)/2,4.34,2.941176470588227,(100),MgO
Zn(NiO2)2,false,0.0,0.0,metastable,0.0,0.0,7.0,"['Ni', 'O', 'Zn']",246.772,5.98340181847923,0.0,spinel,8.183,(100)/2,4.0915,2.953036053130936,(100),MgO
LaPtO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['La', 'Pt', 'O']",381.98100000000005,9.276000520339739,0.0,perovskite,4.089,(100),4.089,3.012333965844397,(100),MgO
EuAgO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'Ag', 'O']",307.829,7.474642543153219,0.0,perovskite,4.089,(100),4.089,3.012333965844397,(100),MgO
YMoO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Y', 'Mo', 'O']",232.84300000000002,5.658682029036143,0.0,perovskite,4.088,(100),4.088,3.0360531309297936,(100),MgO
Ni(RhO2)2,false,0.0,0.0,metastable,0.0,0.0,7.0,"['Rh', 'O', 'Ni']",328.501,6.8311094257875995,0.0,spinel,6.144,(110)/2,4.344464063610149,3.047060332309022,(100),MgO
PrNbO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Pr', 'Nb', 'O']",281.811,6.855145839496563,0.0,perovskite,4.087,(100),4.087,3.0597722960151907,(100),MgO
CaYO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ca', 'Y', 'O']",176.981,3.581335142433154,0.0,perovskite,4.346,(100),4.346,3.0834914611005666,(100),MgO
CaScO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ca', 'Sc', 'O']",133.031,3.241227074842477,0.0,perovskite,4.085,(100),4.085,3.1072106261859638,(100),MgO
TaTlO3,false,0.6811000000000007,0.0,metastable,0.0,0.0,5.0,"['Ta', 'Tl', 'O']",433.32800000000003,10.572497647822221,0.0,perovskite,4.083,(100),4.083,3.1546489563567364,(100),MgO
BaTlO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Tl', 'O']",389.70700000000005,7.8604738046438625,0.0,perovskite,4.35,(100),4.35,3.1783681214421122,(100),MgO
HoSnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ho', 'Sn', 'O']",331.637,6.681846650800492,0.0,perovskite,4.352,(100),4.352,3.2258064516129057,(100),MgO
LaScO3,false,2.8177000000000003,0.0,metastable,0.0,0.0,5.0,"['La', 'Sc', 'O']",231.85900000000004,5.673387093636159,0.0,perovskite,4.079,(100),4.079,3.2495256166983033,(100),MgO
ScPdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sc', 'Pd', 'O']",199.373,4.879050636926505,0.0,perovskite,4.079,(100),4.079,3.2495256166983033,(100),MgO
HfZnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Hf', 'Zn', 'O']",291.877,7.154294748629557,0.0,perovskite,4.077,(100),4.077,3.2969639468690755,(100),MgO
SrHoO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Ho', 'O']",300.547,6.040663396361041,0.0,perovskite,4.355,(100),4.355,3.2969639468690755,(100),MgO
TlWO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Tl', 'W', 'O']",436.22,10.687336371785316,0.0,perovskite,4.077,(100),4.077,3.2969639468690755,(100),MgO
ScBiO3,false,0.6896999999999993,0.0,metastable,0.0,0.0,5.0,"['Sc', 'Bi', 'O']",301.933,7.405007405474687,0.0,perovskite,4.076,(100),4.076,3.3206831119544726,(100),MgO
EuSnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'Sn', 'O']",318.671,7.814337063803226,0.0,perovskite,4.076,(100),4.076,3.3206831119544726,(100),MgO
La3AlO,false,0.0,0.0,stable,0.0,0.0,5.0,"['La', 'Al', 'O']",459.69900000000007,5.994536311154249,0.0,perovskite,5.031,(111)/2,4.356973806439511,3.3437809876544238,(100),MgO
LaTaO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['La', 'Ta', 'O']",367.85100000000006,9.040122158092277,0.0,perovskite,4.073,(100),4.073,3.3918406072106206,(100),MgO
HfMgO3,false,1.2771999999999997,0.0,metastable,0.0,0.0,5.0,"['Hf', 'Mg', 'O']",250.79200000000003,6.165888288342769,0.0,perovskite,4.072,(100),4.072,3.4155597722960183,(100),MgO
BiPtO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Bi', 'Pt', 'O']",452.055,11.128538791158809,0.0,perovskite,4.071,(100),4.071,3.4392789373814145,(100),MgO
SmAgO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sm', 'Ag', 'O']",306.225,7.548294383676719,0.0,perovskite,4.069,(100),4.069,3.4867172675521876,(100),MgO
Ca(NiO2)2,false,0.0,0.0,metastable,0.0,0.0,7.0,"['Ni', 'O', 'Ca']",221.46,4.425457010869222,0.0,spinel,8.728,(100)/2,4.364,3.5104364326375634,(100),MgO
EuPtO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Eu', 'Pt', 'O']",395.03900000000004,9.75383455009428,0.0,perovskite,4.067,(100),4.067,3.5341555977229606,(100),MgO
SrTaO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Ta', 'O']",316.565,7.815019078429382,0.0,perovskite,4.067,(100),4.067,3.5341555977229606,(100),MgO
TaInO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ta', 'In', 'O']",343.76300000000003,8.484693137654336,0.0,perovskite,4.067,(100),4.067,3.5341555977229606,(100),MgO
BaReO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Re', 'O']",371.531,9.186494240340954,0.0,perovskite,4.065,(100),4.065,3.5815939278937328,(100),MgO
TePdO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Te', 'Pd', 'O']",282.017,6.970549607483635,0.0,perovskite,4.065,(100),4.065,3.5815939278937328,(100),MgO
BaRuO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Ru', 'O']",286.394,7.08696316067908,0.0,perovskite,4.064,(100),4.064,3.6053130929791304,(100),MgO
SrPtO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Pt', 'O']",330.695,8.19084126274852,0.0,perovskite,4.062,(100),4.062,3.6527514231499034,(100),MgO
Co(NiO2)2,false,0.0,0.0,stable,0.0,0.0,7.0,"['Ni', 'O', 'Co']",240.315,5.955512332042933,0.0,spinel,8.123,(100)/2,4.0615,3.664611005692612,(100),MgO
SrDyO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Dy', 'O']",298.117,5.919956586919827,0.0,perovskite,4.373,(100),4.373,3.7239089184060727,(100),MgO
BaTmO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ba', 'Tm', 'O']",354.258,7.02904506046517,0.0,perovskite,4.374,(100),4.374,3.7476280834914486,(100),MgO
Zn(IrO2)2,false,0.3452000000000002,0.0,metastable,0.0,0.0,7.0,"['Ir', 'O', 'Zn']",513.82,10.191484547303592,0.0,spinel,8.749,(100)/2,4.3745,3.759487666034157,(100),MgO
CdSnO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Cd', 'Sn', 'O']",279.118,6.938980318308384,0.0,perovskite,4.057,(100),4.057,3.771347248576845,(100),MgO
SrCaO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Sr', 'Ca', 'O']",175.695,3.4807723552883685,0.0,perovskite,4.376,(100),4.376,3.7950664136622425,(100),MgO
CeTaO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Ce', 'Ta', 'O']",369.06100000000004,9.193428072048935,0.0,perovskite,4.055,(100),4.055,3.818785578747639,(100),MgO
YAgO3,false,0.0,0.0,metastable,0.0,0.0,5.0,"['Y', 'Ag', 'O']",244.77100000000002,6.098528684371441,0.0,perovskite,4.054,(100),4.054,3.8425047438330155,(100),MgO
